"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","ProcessName","MainWindowHandle","MainWindowTitle","Responding","Site","Container"
"MoUsoCoreWorker","0","773","2203555307520","18939904","46301184","24104",,,,,,,,,,"Process",,,"8",,,,,"14880",".",,,,"24104","24104","46301184","46301184","230880","230880","62939136","62939136","98422784","98422784","2203621548032","303325184",,,"46301184","46301184",,"0",,"System.Diagnostics.ProcessThreadCollection","773","2203555307520","237084672","False",,,,"18939904","18939904",,,,,,"MoUsoCoreWorker","0","","True",,
"MpDefenderCoreService","0","504","2203456409600","16834560","13819904","20384",,,,,,,,,,"Process",,,"8",,,,,"2208",".",,,,"20384","20384","13819904","13819904","172416","172416","14901248","14901248","27955200","27955200","2203459534848","141312000",,,"13819904","13819904",,"0",,"System.Diagnostics.ProcessThreadCollection","504","2203456409600","138186752","False",,,,"16834560","16834560",,,,,,"MpDefenderCoreService","0","","True",,
"MsMpEng","0","1065","2204794585088","194052096","412147712","246048",,,,,,,,,,"Process",,,"8",,,,,"5260",".",,,,"246048","246048","412147712","412147712","999032","999032","1182486528","1182486528","761946112","761946112","2205833437184","-1779752960",,,"412147712","412147712",,"0",,"System.Diagnostics.ProcessThreadCollection","1065","2204794585088","1476362240","False",,,,"194052096","194052096",,,,,,"MsMpEng","0","","True",,
"NisSrv","0","223","2203431096320","12046336","4784128","12272",,,,,,,,,,"Process",,,"8",,,,,"22364",".",,,,"12272","12272","4784128","4784128","134240","134240","5107712","5107712","12464128","12464128","2203433263104","115040256",,,"4784128","4784128",,"0",,"System.Diagnostics.ProcessThreadCollection","223","2203431096320","112873472","False",,,,"12046336","12046336",,,,,,"NisSrv","0","","True",,
"OfficeClickToRun","0","652","2203665555456","26501120","85884928","26120",,,,,,,,,,"Process",,,"8",,,,,"8344",".",,,,"26120","26120","85884928","85884928","286632","286632","303132672","303132672","325877760","325877760","2203846320128","528097280",,,"85884928","85884928",,"0",,"System.Diagnostics.ProcessThreadCollection","652","2203665555456","347332608","False",,,,"26501120","26501120",,,,,,"OfficeClickToRun","0","","True",,
"OfficeClickToRun","0","783","2203616825344","27652096","38588416","26584",,,,,,,,,,"Process",,,"8",,,,,"25004",".",,,,"26584","26584","38588416","38588416","367592","367592","76480512","76480512","102993920","102993920","2203638411264","320188416",,,"38588416","38588416",,"0",,"System.Diagnostics.ProcessThreadCollection","783","2203616825344","298602496","False",,,,"27652096","27652096",,,,,,"OfficeClickToRun","0","","True",,
"OneApp.IGCC.WinService","0","705","4988882944","11325440","39051264","33432",,,,,,,,,,"Process",,,"8",,,,,"4316",".",,,,"33432","33432","39051264","39051264","459536","459536","44523520","44523520","62308352","62308352","5060517888","765550592",,,"39051264","39051264",,"0",,"System.Diagnostics.ProcessThreadCollection","705","4988882944","693915648","False",,,,"11325440","11325440",,,,,,"OneApp.IGCC.WinService","0","","True",,
"OneDrive","15","1003","2207228157952","41684992","65478656","56512",,,,,,,,,,"Process",,,"8",,,,,"28252",".",,,,"56512","56512","65478656","65478656","1114792","1114792","66830336","66830336","136683520","136683520","2207250341888","-362848256",,,"65478656","65478656",,"15",,"System.Diagnostics.ProcessThreadCollection","1003","2207228157952","-385032192","False",,,,"41684992","41684992",,,,,,"OneDrive","0","","True",,
"OpenConsole","14","168","2203474223104","9015296","2383872","10872","C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.21.2911.0_x64__8wekyb3d8bbwe\OpenConsole.exe","""C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.21.2911.0_x64__8wekyb3d8bbwe\OpenConsole.exe"" --headless --resizeQuirk --width 120 --height 30 --signal 0x67c --server 0x3ac","System.Diagnostics.Process (WindowsTerminal)","Microsoft Corporation","0.078125","1.21.2410.17001","1.21.241017001","OpenConsole.exe","Windows Terminal","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3272","8",,"False","2025/04/17 23:27:12",,"2272",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","10872","10872","2383872","2383872","244312","244312","2449408","2449408","10592256","10592256","2203476320256","158097408","True","Normal","2383872","2383872","15","14",,"System.Diagnostics.ProcessThreadCollection","168","2203474223104","156000256","False",,,,"9015296","9015296",,"System.Diagnostics.ProcessModule (OpenConsole.exe)","00:00:00.0625000","00:00:00.0781250","00:00:00.0156250","OpenConsole","0","","True",,
"OpenConsole","14","268","2203481526272","9814016","2990080","14776","C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.21.2911.0_x64__8wekyb3d8bbwe\OpenConsole.exe","""C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.21.2911.0_x64__8wekyb3d8bbwe\OpenConsole.exe"" -Embedding",,"Microsoft Corporation","0.125","1.21.2410.17001","1.21.241017001","OpenConsole.exe","Windows Terminal","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3940","8",,"False","2025/04/17 23:25:00",,"25792",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","14776","14776","2990080","2990080","254048","254048","3256320","3256320","16879616","16879616","2203488874496","170651648","True","Normal","2990080","2990080","15","14",,"System.Diagnostics.ProcessThreadCollection","268","2203481526272","163303424","False",,,,"9814016","9814016",,"System.Diagnostics.ProcessModule (OpenConsole.exe)","00:00:00.0625000","00:00:00.1250000","00:00:00.0625000","OpenConsole","0","","True",,
